"",name,current_club_name,country_of_citizenship,position,sub_position,market_value_in_eur,contract_expiration_date,current_club_domestic_competition_id,overall_score,potential_score,Height,Weight,Age,preferred_foot,ball_skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
2999,Ian Harkes,Dundee United Fc,United States,Midfield,Central Midfield,550000.0,2023-05-31,SC1,66,67,180,73,27,Right,66.0,58.5,62.333333,63.666667,70.714286,62.750,9.2
3000,Dylan Levitt,Dundee United Fc,Wales,Midfield,Central Midfield,850000.0,2024-05-31,SC1,69,79,180,73,22,Right,68.5,61.5,64.500000,71.000000,64.714286,60.000,8.6
3001,Kieran Freeman,Dundee United Fc,Scotland,Defender,Right-Back,350000.0,2024-05-31,SC1,62,67,179,70,22,Right,58.5,59.0,52.666667,55.666667,65.714286,41.125,10.2
3002,Jason Holt,Livingston Fc,Scotland,Midfield,Central Midfield,450000.0,2023-05-31,SC1,65,65,164,70,30,Right,62.5,64.5,63.666667,61.666667,75.285714,54.375,11.6
3003,Liam Smith,Dundee United Fc,Scotland,Defender,Right-Back,550000.0,2023-05-31,SC1,64,64,173,68,26,Right,62.5,65.5,57.000000,61.000000,72.000000,46.250,9.0
3004,Nicky Devlin,Livingston Fc,Scotland,Defender,Right-Back,700000.0,2023-05-31,SC1,66,66,183,73,29,Right,59.0,62.0,60.666667,58.333333,76.714286,49.625,10.4
3005,Peter Pawlett,Dundee United Fc,Scotland,Attack,Attacking Midfield,450000.0,2023-05-31,SC1,64,64,178,68,32,Right,64.5,56.5,58.500000,62.000000,74.285714,57.375,12.4
3006,Charlie Mulgrew,Dundee United Fc,Scotland,Defender,Centre-Back,300000.0,2024-05-31,SC1,68,68,191,80,37,Left,65.5,68.5,63.000000,68.333333,52.857143,70.500,10.6
3007,Ross Graham,Dundee United Fc,Scotland,Defender,Centre-Back,350000.0,2024-05-31,SC1,60,71,187,70,22,Left,48.0,63.5,44.166667,42.666667,57.142857,33.750,10.4
3008,Ryan Edwards,Dundee United Fc,England,Defender,Centre-Back,375000.0,2023-05-31,SC1,68,68,195,76,29,Right,46.5,67.0,53.833333,46.666667,58.428571,42.000,11.4
3009,Jack Newman,Dundee United Fc,Scotland,Goalkeeper,Goalkeeper,50000.0,2023-05-31,SC1,53,67,188,70,21,Right,8.5,13.0,19.666667,21.000000,30.428571,14.375,54.8
3010,Mark Birighitti,Dundee United Fc,Australia,Goalkeeper,Goalkeeper,400000.0,2024-05-31,SC1,68,68,189,84,31,Right,14.5,14.0,37.500000,19.333333,51.857143,16.500,67.8
3011,Mattia Destro,Fc Empoli,Italy,Attack,Centre-Forward,2500000.0,2023-06-30,IT1,74,74,182,80,31,Right,72.5,21.0,59.166667,57.333333,67.857143,70.375,11.0
3012,Roberto Piccoli,Fc Empoli,Italy,Attack,Centre-Forward,3500000.0,2024-06-30,IT1,69,79,190,83,22,Right,64.0,36.0,58.666667,47.000000,64.142857,59.875,12.2
3013,Martin Satriano,Fc Empoli,Uruguay,Attack,Centre-Forward,8000000.0,2023-06-30,IT1,72,81,187,75,22,Right,74.0,32.5,57.666667,53.000000,65.714286,65.250,10.4
3014,Loick Ayina,Dundee United Fc,France,Defender,Centre-Back,50000.0,2023-05-31,SC1,55,70,185,70,19,Right,36.5,58.0,41.333333,31.666667,68.285714,30.625,9.0
3015,Nicolo Cambiaghi,Fc Empoli,Italy,Attack,Left Winger,2000000.0,2023-06-30,IT1,69,79,173,74,22,Right,73.0,35.0,60.333333,60.000000,68.571429,59.375,11.0
3016,Marko Pjaca,Fc Empoli,Croatia,Attack,Left Winger,3000000.0,2023-06-30,IT1,74,74,186,83,27,Right,80.0,38.0,59.833333,73.666667,68.857143,72.125,9.4
3017,Tommaso Baldanzi,Fc Empoli,Italy,Attack,Attacking Midfield,3000000.0,2027-06-30,IT1,74,88,170,63,19,Left,77.0,44.5,59.333333,66.000000,69.000000,63.250,10.0
3018,Jacopo Fazzini,Fc Empoli,Italy,Midfield,Central Midfield,800000.0,2027-06-30,IT1,63,81,178,70,19,Right,66.5,59.5,60.166667,64.000000,64.857143,50.000,10.2
3019,Jean Daniel Akpa Akpro,Fc Empoli,Cote d'Ivoire,Midfield,Central Midfield,1400000.0,2023-06-30,IT1,75,75,180,70,30,Right,78.0,74.0,75.000000,71.333333,77.571429,64.625,8.6
3020,Alberto Grassi,Fc Empoli,Italy,Midfield,Central Midfield,2000000.0,2023-06-30,IT1,72,73,183,75,27,Right,75.0,66.5,69.000000,70.333333,62.142857,62.875,9.8
3021,Nicolas Haas,Fc Empoli,Switzerland,Midfield,Central Midfield,3000000.0,2025-06-30,IT1,71,72,181,74,27,Right,71.0,62.0,67.333333,71.333333,75.285714,59.625,9.4
3022,Liam Henderson,Fc Empoli,Scotland,Midfield,Central Midfield,3000000.0,2025-06-30,IT1,72,75,183,76,26,Right,71.5,67.0,70.000000,69.666667,73.142857,60.000,13.0
3023,Filippo Bandinelli,Fc Empoli,Italy,Midfield,Central Midfield,3500000.0,2025-06-30,IT1,73,74,180,74,27,Left,73.0,71.0,71.000000,71.333333,73.000000,69.125,9.6
3024,Razvan Marin,Fc Empoli,Romania,Midfield,Central Midfield,8000000.0,2023-06-30,IT1,76,78,178,75,26,Right,75.5,67.0,73.333333,77.000000,73.285714,74.250,9.4
3025,Duccio Degli Innocenti,Fc Empoli,Italy,Midfield,Defensive Midfield,500000.0,2023-06-30,IT1,61,81,180,74,19,Right,61.5,61.0,55.333333,60.666667,62.285714,50.625,8.8
3026,Sofyan Amrabat,Ac Florenz,Morocco,Midfield,Defensive Midfield,25000000.0,2024-06-30,IT1,78,81,183,70,26,Right,79.5,71.0,74.666667,74.666667,72.857143,66.250,12.0
3027,Tyronne Ebuehi,Fc Empoli,Nigeria,Defender,Right-Back,1400000.0,2025-06-30,IT1,72,73,187,72,27,Right,68.0,68.0,61.333333,61.333333,77.714286,41.750,13.0
3028,Emanuel Vignato,Fc Empoli,Italy,Attack,Right Winger,4500000.0,2023-06-30,IT1,72,82,175,67,22,Right,76.5,36.0,56.333333,71.333333,65.142857,60.000,11.2
3029,Fabiano Parisi,Fc Empoli,Italy,Defender,Left-Back,8000000.0,2025-06-30,IT1,75,85,178,72,22,Left,76.5,72.5,67.500000,72.333333,74.000000,64.125,10.8
3030,Lorenzo Tonelli,Fc Empoli,Italy,Defender,Centre-Back,800000.0,2023-06-30,IT1,71,71,183,75,33,Right,54.5,75.0,57.000000,48.666667,63.000000,37.375,10.8
3031,Scott Mcmann,Dundee United Fc,Scotland,Defender,Left-Back,400000.0,2024-05-31,SC1,66,69,183,75,26,Left,61.0,62.0,56.833333,59.333333,66.571429,40.625,12.4
3032,Sebastiano Luperto,Fc Empoli,Italy,Defender,Centre-Back,3000000.0,2023-06-30,IT1,74,77,191,75,26,Left,60.0,76.0,64.333333,63.666667,63.000000,55.750,9.4
3033,Sebastian Walukiewicz,Fc Empoli,Poland,Defender,Centre-Back,3500000.0,2023-06-30,IT1,70,78,188,85,22,Right,60.5,71.5,57.500000,50.333333,63.714286,39.500,10.2
3034,Liberato Cacace,Fc Empoli,New Zealand,Defender,Left-Back,2500000.0,2025-06-30,IT1,71,81,184,81,22,Left,69.5,66.5,68.833333,65.000000,76.714286,60.875,10.8
3035,Paul Pogba,Juventus Turin,France,Midfield,Central Midfield,35000000.0,2026-06-30,IT1,85,85,191,84,29,Right,88.0,65.0,78.166667,84.000000,71.428571,81.625,4.0
3036,Craig Sibbald,Dundee United Fc,Scotland,Attack,Left Winger,300000.0,2024-05-31,SC1,65,65,170,70,27,Left,64.5,58.0,62.166667,61.000000,71.142857,56.875,9.0
3038,Ardian Ismajli,Fc Empoli,Albania,Defender,Centre-Back,2200000.0,2025-06-30,IT1,71,74,185,76,26,Right,58.5,74.0,57.833333,51.000000,67.714286,35.375,11.6
3039,Lautaro Martinez,Inter Mailand,Argentina,Attack,Centre-Forward,75000000.0,2026-06-30,IT1,86,89,174,72,25,Right,85.0,37.5,79.500000,69.000000,84.857143,78.000,9.6
3040,Joaquin Correa,Inter Mailand,Argentina,Attack,Second Striker,20000000.0,2025-06-30,IT1,79,79,189,75,28,Right,86.5,31.5,64.833333,73.333333,74.571429,70.875,8.8
3042,Henrikh Mkhitaryan,Inter Mailand,Armenia,Attack,Attacking Midfield,6000000.0,2024-06-30,IT1,81,81,177,75,34,Right,83.5,54.0,77.000000,75.666667,78.142857,75.625,8.4
3043,Samir Ujkani,Fc Empoli,Kosovo,Goalkeeper,Goalkeeper,200000.0,2023-06-30,IT1,68,68,186,83,34,Right,17.5,10.5,30.000000,24.666667,51.571429,18.125,66.8
3044,Robin Gosens,Inter Mailand,Germany,Midfield,Left Midfield,18000000.0,2026-06-30,IT1,82,82,183,76,28,Left,80.5,78.5,77.333333,79.666667,78.857143,69.750,12.8
3045,Denzel Dumfries,Inter Mailand,Netherlands,Midfield,Right Midfield,28000000.0,2025-06-30,IT1,82,84,188,80,26,Right,74.0,78.0,75.333333,74.666667,80.714286,57.875,10.8
3046,Hakan Calhanoglu,Inter Mailand,Turkey,Midfield,Central Midfield,35000000.0,2024-06-30,IT1,84,84,178,76,29,Right,86.5,67.5,80.166667,84.000000,68.000000,78.250,10.0
3047,Roberto Gagliardini,Inter Mailand,Italy,Midfield,Central Midfield,6500000.0,2023-06-30,IT1,76,76,188,77,28,Right,75.5,77.5,72.833333,71.666667,62.714286,62.625,8.4
3048,Kristjan Asllani,Inter Mailand,Albania,Midfield,Defensive Midfield,12000000.0,2027-06-30,IT1,73,83,179,70,20,Right,75.5,71.0,68.666667,71.666667,65.285714,61.000,8.2
3049,Nicolo Barella,Inter Mailand,Italy,Midfield,Central Midfield,70000000.0,2026-06-30,IT1,86,89,175,68,26,Right,83.5,80.0,84.666667,83.333333,83.285714,72.625,10.8
3050,Mattia Zanotti,Inter Mailand,Italy,Defender,Right-Back,350000.0,2025-06-30,IT1,66,76,177,70,20,Right,66.0,62.0,62.666667,68.000000,72.142857,59.375,9.2
3051,Matteo Darmian,Inter Mailand,Italy,Defender,Right-Back,4000000.0,2024-06-30,IT1,80,80,183,70,33,Right,74.0,81.0,76.333333,74.000000,73.428571,57.125,7.8
3052,Luiyi De Lucas,Livingston Fc,Dominican Republic,Defender,Centre-Back,300000.0,2024-05-31,SC1,63,64,194,83,28,Right,58.5,60.5,51.833333,50.000000,62.285714,37.375,10.0
3053,Aziz Behich,Dundee United Fc,Australia,Defender,Left-Back,700000.0,2024-05-31,SC1,69,69,170,63,32,Left,68.0,66.0,63.833333,66.000000,75.571429,60.125,13.0
3054,Dalbert,Inter Mailand,Brazil,Defender,Left-Back,2000000.0,2023-06-30,IT1,71,71,181,70,29,Left,72.0,67.5,65.166667,67.666667,73.857143,56.375,8.6
3056,Raoul Bellanova,Inter Mailand,Italy,Defender,Right-Back,7000000.0,2023-06-30,IT1,74,82,188,78,22,Right,70.0,70.5,65.000000,62.333333,71.714286,38.125,7.8
3057,Danilo D Ambrosio,Inter Mailand,Italy,Defender,Centre-Back,2000000.0,2023-06-30,IT1,77,77,180,75,34,Right,70.0,78.5,71.666667,70.333333,71.714286,61.625,12.4
3058,Samuele Perisan,Fc Empoli,Italy,Goalkeeper,Goalkeeper,700000.0,2025-06-30,IT1,63,67,192,83,25,Right,17.5,15.0,29.500000,17.666667,46.714286,19.500,61.2
3059,Alessandro Bastoni,Inter Mailand,Italy,Defender,Centre-Back,55000000.0,2024-06-30,IT1,84,89,190,75,23,Left,73.0,85.0,74.833333,76.000000,71.142857,45.625,9.6
3060,Marcelo Brozovic,Inter Mailand,Croatia,Midfield,Defensive Midfield,35000000.0,2026-06-30,IT1,86,86,181,68,30,Right,81.5,83.0,80.833333,80.666667,76.142857,73.750,10.0
3061,Alex Cordaz,Inter Mailand,Italy,Goalkeeper,Goalkeeper,300000.0,2023-06-30,IT1,71,71,188,83,40,Right,19.0,10.0,36.333333,13.666667,30.714286,17.375,69.0
3062,Samir Handanovic,Inter Mailand,Slovenia,Goalkeeper,Goalkeeper,1000000.0,2023-06-30,IT1,83,83,193,92,38,Right,19.5,11.5,40.000000,31.333333,49.714286,19.625,79.4
3063,Andre Onana,Inter Mailand,Cameroon,Goalkeeper,Goalkeeper,14000000.0,2027-06-30,IT1,82,84,190,93,26,Right,32.0,16.0,44.500000,37.000000,62.142857,25.125,82.0
3064,Giovanni Simeone,Ssc Neapel,Argentina,Attack,Centre-Forward,17000000.0,2023-06-30,IT1,78,79,181,81,27,Right,76.0,37.0,65.500000,62.333333,76.857143,75.500,12.2
3065,Victor Osimhen,Ssc Neapel,Nigeria,Attack,Centre-Forward,70000000.0,2025-06-30,IT1,84,90,185,78,24,Right,80.0,33.5,70.666667,62.333333,83.285714,73.250,10.6
3066,Giacomo Raspadori,Ssc Neapel,Italy,Attack,Second Striker,35000000.0,2023-06-30,IT1,79,86,172,69,23,Right,81.5,22.0,64.833333,63.333333,72.000000,72.750,10.0
3067,Matteo Politano,Ssc Neapel,Italy,Attack,Right Winger,20000000.0,2025-06-30,IT1,81,81,171,67,29,Left,83.5,29.0,69.000000,78.333333,73.000000,72.125,9.6
3068,Hirving Lozano,Ssc Neapel,Mexico,Attack,Right Winger,28000000.0,2024-06-30,IT1,81,81,175,70,27,Right,81.5,32.0,70.166667,70.666667,79.000000,71.750,11.8
3069,Alessio Zerbin,Ssc Neapel,Italy,Attack,Left Winger,4000000.0,2027-06-30,IT1,72,80,182,80,24,Right,76.5,34.5,57.333333,66.000000,69.285714,62.000,8.4
3070,Khvicha Kvaratskhelia,Ssc Neapel,Georgia,Attack,Left Winger,60000000.0,2027-06-30,IT1,79,88,183,70,22,Right,83.5,36.5,67.166667,73.000000,74.000000,68.750,10.8
3071,Milan Skriniar,Inter Mailand,Slovakia,Defender,Centre-Back,60000000.0,2023-06-30,IT1,86,87,187,80,28,Right,67.0,86.5,70.333333,61.666667,74.428571,45.375,11.0
3072,Gianluca Gaetano,Ssc Neapel,Italy,Attack,Attacking Midfield,4500000.0,2025-06-30,IT1,71,81,175,70,22,Right,72.0,51.5,64.000000,68.000000,63.714286,63.500,11.8
3073,Stefan De Vrij,Inter Mailand,Netherlands,Defender,Centre-Back,15000000.0,2023-06-30,IT1,84,84,189,78,31,Right,69.5,86.0,72.666667,65.000000,70.571429,47.875,10.4
3074,Tanguy Ndombele,Ssc Neapel,France,Midfield,Central Midfield,28000000.0,2023-06-30,IT1,79,82,181,76,26,Right,87.0,70.5,76.500000,78.666667,69.142857,66.250,9.2
3075,Piotr Zielinski,Ssc Neapel,Poland,Midfield,Central Midfield,40000000.0,2024-06-30,IT1,83,83,180,75,28,Right,87.0,71.5,75.166667,79.666667,73.428571,70.875,10.0
3076,Federico Dimarco,Inter Mailand,Italy,Defender,Left-Back,25000000.0,2026-06-30,IT1,79,82,175,75,25,Left,79.0,75.0,73.000000,78.666667,74.285714,72.750,8.6
3077,Stanislav Lobotka,Ssc Neapel,Slovakia,Midfield,Defensive Midfield,30000000.0,2025-06-30,IT1,82,82,170,64,28,Right,82.5,77.0,77.000000,79.666667,76.428571,61.750,12.0
3078,Petar Stojanovic,Fc Empoli,Slovenia,Defender,Right-Back,2800000.0,2025-06-30,IT1,74,75,178,72,27,Right,72.5,74.5,66.833333,74.333333,72.285714,55.375,8.8
3079,Bartosz Bereszynski,Ssc Neapel,Poland,Defender,Right-Back,3000000.0,2023-06-30,IT1,73,73,182,77,30,Right,69.0,68.5,65.833333,65.666667,75.714286,56.250,11.0
3080,Giovanni Di Lorenzo,Ssc Neapel,Italy,Defender,Right-Back,25000000.0,2026-06-30,IT1,82,82,183,83,29,Right,76.5,77.5,74.500000,75.333333,82.142857,66.625,8.6
3081,Mario Rui,Ssc Neapel,Portugal,Defender,Left-Back,8000000.0,2025-06-30,IT1,79,79,170,67,31,Left,78.0,75.0,72.000000,77.333333,80.142857,64.250,9.8
3082,Juan Jesus,Ssc Neapel,Brazil,Defender,Centre-Back,4000000.0,2023-06-30,IT1,76,76,185,83,31,Left,57.0,78.0,62.666667,57.333333,68.857143,40.875,10.4
3083,Mathias Olivera,Ssc Neapel,Uruguay,Defender,Left-Back,15000000.0,2027-06-30,IT1,77,82,184,78,25,Left,74.0,75.5,70.833333,68.000000,68.285714,51.500,13.6
3084,Amir Rrahmani,Ssc Neapel,Kosovo,Defender,Centre-Back,25000000.0,2024-06-30,IT1,80,80,192,83,29,Right,63.0,83.0,66.500000,60.333333,63.428571,51.000,9.6
3085,Min Jae Kim,Ssc Neapel,"Korea, South",Defender,Centre-Back,35000000.0,2025-06-30,IT1,79,83,190,81,26,Right,61.5,80.0,68.333333,58.333333,76.285714,37.500,11.2
3086,Hubert Idasiak,Ssc Neapel,Poland,Goalkeeper,Goalkeeper,150000.0,2024-06-30,IT1,55,66,188,82,21,Right,14.5,11.0,25.500000,21.666667,33.857143,14.125,55.4
3087,Pierluigi Gollini,Ssc Neapel,Italy,Goalkeeper,Goalkeeper,5000000.0,2023-06-30,IT1,77,80,194,94,27,Right,21.0,15.5,36.166667,24.333333,51.714286,21.500,76.0
3088,Alex Meret,Ssc Neapel,Italy,Goalkeeper,Goalkeeper,13000000.0,2024-06-30,IT1,80,83,190,83,25,Left,20.5,16.5,38.000000,23.333333,48.000000,23.500,78.0
3089,Ola Solbakken,As Rom,Norway,Attack,Right Winger,3500000.0,2027-06-30,IT1,72,78,186,79,24,Left,72.0,30.0,61.166667,65.000000,75.571429,58.625,10.4
3090,Stephan El Shaarawy,As Rom,Italy,Attack,Left Winger,5000000.0,2023-06-30,IT1,77,77,178,73,30,Right,76.5,36.0,65.000000,72.000000,76.857143,74.000,4.2
3091,Ante Coric,As Rom,Croatia,Attack,Attacking Midfield,500000.0,2023-06-30,IT1,69,72,176,70,25,Right,71.0,36.5,57.333333,68.666667,68.428571,61.250,12.0
3092,Cristian Volpato,As Rom,Italy,Attack,Attacking Midfield,3000000.0,2026-06-30,IT1,67,85,187,78,19,Left,71.0,39.0,57.000000,62.333333,60.428571,58.750,9.6
3093,Lorenzo Pellegrini,As Rom,Italy,Attack,Attacking Midfield,45000000.0,2026-06-30,IT1,84,87,186,77,26,Right,84.5,74.5,80.333333,82.333333,79.142857,76.875,10.6
3094,Karim Zedadka,Ssc Neapel,Algeria,Midfield,Left Midfield,300000.0,2023-06-30,IT1,62,68,182,67,22,Right,63.0,59.5,56.000000,58.000000,66.714286,51.375,10.0
3095,Diego Demme,Ssc Neapel,Germany,Midfield,Defensive Midfield,5000000.0,2024-06-30,IT1,77,77,172,71,31,Right,75.0,73.0,73.166667,74.666667,71.428571,54.000,11.8
3096,Edoardo Bove,As Rom,Italy,Midfield,Central Midfield,1500000.0,2025-06-30,IT1,69,83,176,65,20,Right,67.0,65.5,67.500000,66.333333,62.857143,57.000,8.2
3097,Mady Camara,As Rom,Guinea,Midfield,Central Midfield,11000000.0,2023-06-30,IT1,76,81,182,80,26,Right,74.0,73.0,77.333333,73.000000,77.714286,67.625,9.8
3098,Georginio Wijnaldum,As Rom,Netherlands,Midfield,Central Midfield,12000000.0,2023-06-30,IT1,80,80,175,74,32,Right,80.0,74.0,78.500000,76.666667,77.571429,72.875,10.8
3099,Nicola Zalewski,As Rom,Poland,Midfield,Left Midfield,15000000.0,2025-06-30,IT1,75,87,175,70,21,Right,77.0,54.5,63.000000,70.000000,71.000000,58.000,9.0
3100,Benjamin Tahirovic,As Rom,Bosnia-Herzegovina,Midfield,Central Midfield,1000000.0,2026-06-30,IT1,64,81,191,75,19,Right,70.0,66.5,58.166667,67.333333,58.142857,44.875,8.6
3101,Nemanja Matic,As Rom,Serbia,Midfield,Defensive Midfield,4000000.0,2023-06-30,IT1,79,79,194,83,34,Left,77.0,75.0,74.833333,77.333333,53.000000,68.500,11.4
3102,Francesco Acerbi,Inter Mailand,Italy,Defender,Centre-Back,4000000.0,2023-06-30,IT1,82,82,192,88,35,Left,68.5,85.0,68.666667,62.666667,58.857143,58.750,10.6
3103,Koni De Winter,Fc Empoli,Belgium,Defender,Centre-Back,4000000.0,2023-06-30,IT1,66,81,191,75,20,Right,61.0,71.0,48.000000,58.333333,63.000000,46.250,9.8
3104,Leonardo Spinazzola,As Rom,Italy,Defender,Left-Back,15000000.0,2024-06-30,IT1,81,81,186,75,29,Right,80.0,76.5,74.666667,74.333333,77.000000,61.750,13.0
3105,Zeki Celik,As Rom,Turkey,Defender,Right-Back,15000000.0,2026-06-30,IT1,76,79,180,78,26,Right,71.0,74.0,72.000000,70.333333,73.571429,58.000,10.6
3106,Chris Smalling,As Rom,England,Defender,Centre-Back,8000000.0,2023-06-30,IT1,83,83,194,81,33,Right,62.0,85.5,73.833333,60.333333,65.571429,48.625,14.2
3108,Marash Kumbulla,As Rom,Albania,Defender,Centre-Back,14000000.0,2025-06-30,IT1,75,81,191,78,23,Right,56.0,75.0,61.166667,54.666667,62.285714,37.500,10.6
3109,Diego Llorente,As Rom,Spain,Defender,Centre-Back,12000000.0,2023-06-30,IT1,75,75,186,76,29,Right,70.0,74.0,68.166667,67.333333,69.142857,43.000,9.4
3110,Gianluca Mancini,As Rom,Italy,Defender,Centre-Back,18000000.0,2027-06-30,IT1,81,83,190,77,26,Right,62.5,80.0,69.333333,47.666667,68.857143,46.875,9.4
3111,Eljif Elmas,Ssc Neapel,North Macedonia,Midfield,Central Midfield,23000000.0,2025-06-30,IT1,78,85,184,74,23,Right,85.5,68.0,73.166667,75.000000,70.285714,64.125,9.6
3112,Roger Ibanez,As Rom,Brazil,Defender,Centre-Back,27000000.0,2025-06-30,IT1,81,85,185,73,24,Right,60.0,85.0,65.666667,45.666667,75.285714,39.750,9.4
3113,William Bianda,As Rom,France,Defender,Centre-Back,300000.0,2023-06-30,IT1,63,70,185,82,22,Left,50.0,60.0,50.166667,44.000000,56.857143,33.875,11.2
3114,Rui Patricio,As Rom,Portugal,Goalkeeper,Goalkeeper,5000000.0,2024-06-30,IT1,80,80,190,84,35,Left,22.5,12.0,46.500000,26.000000,60.857143,20.750,78.2
3115,Duvan Zapata,Atalanta Bergamo,Colombia,Attack,Centre-Forward,18000000.0,2024-06-30,IT1,83,83,189,88,31,Right,81.5,23.0,68.000000,59.666667,76.285714,74.500,8.0
3116,Ademola Lookman,Atalanta Bergamo,Nigeria,Attack,Second Striker,20000000.0,2026-06-30,IT1,78,81,174,71,25,Right,81.5,23.5,65.833333,67.000000,76.142857,64.875,10.8
3117,Rasmus Hojlund,Atalanta Bergamo,Denmark,Attack,Centre-Forward,15000000.0,2027-06-30,IT1,69,84,187,79,20,Left,65.0,19.5,57.666667,46.666667,73.571429,62.250,10.0
3118,Jeremie Boga,Atalanta Bergamo,Cote d'Ivoire,Attack,Left Winger,15000000.0,2026-06-30,IT1,77,78,174,68,26,Right,81.5,38.0,62.833333,73.333333,75.714286,67.875,12.4
3119,Mile Svilar,As Rom,Serbia,Goalkeeper,Goalkeeper,1800000.0,2027-06-30,IT1,70,78,189,83,23,Right,20.5,19.5,35.666667,29.000000,57.000000,25.125,68.2
3120,Simone Muratore,Atalanta Bergamo,Italy,Midfield,Central Midfield,300000.0,2023-06-30,IT1,63,69,186,74,24,Right,59.5,65.0,58.833333,64.333333,55.000000,49.125,10.4
3121,Pietro Boer,As Rom,Italy,Goalkeeper,Goalkeeper,150000.0,2024-06-30,IT1,60,73,193,80,20,Right,11.0,11.0,21.666667,18.333333,32.428571,13.625,61.2
3122,Marten De Roon,Atalanta Bergamo,Netherlands,Midfield,Defensive Midfield,12000000.0,2024-06-30,IT1,80,80,185,76,31,Right,72.0,81.5,77.000000,72.333333,74.142857,68.375,12.0
3123,Davide Zappacosta,Atalanta Bergamo,Italy,Defender,Right-Back,7000000.0,2025-06-30,IT1,79,79,182,75,30,Right,75.0,77.5,72.833333,74.666667,73.428571,67.000,9.0
3124,Brandon Soppy,Atalanta Bergamo,France,Defender,Right-Back,10000000.0,2026-06-30,IT1,71,82,181,80,21,Right,68.0,68.0,63.666667,66.666667,75.571429,51.000,10.4
3125,Romelu Lukaku,Inter Mailand,Belgium,Attack,Centre-Forward,55000000.0,2023-06-30,IT1,85,85,191,94,29,Left,80.0,35.5,70.666667,73.666667,72.142857,81.000,10.8
3126,Matteo Ruggeri,Atalanta Bergamo,Italy,Defender,Left-Back,2000000.0,2026-06-30,IT1,69,80,187,79,20,Left,68.5,67.0,62.000000,67.333333,58.857143,52.375,11.2
3127,Jose Luis Palomino,Atalanta Bergamo,Argentina,Defender,Centre-Back,3500000.0,2024-06-30,IT1,78,78,188,87,33,Left,60.5,79.5,63.166667,62.000000,57.714286,43.625,10.6
3128,Rafael Toloi,Atalanta Bergamo,Italy,Defender,Centre-Back,8000000.0,2024-06-30,IT1,81,81,185,75,32,Right,64.0,83.5,70.333333,60.333333,71.571429,58.125,12.6
3129,Caleb Okoli,Atalanta Bergamo,Italy,Defender,Centre-Back,10000000.0,2026-06-30,IT1,72,82,191,91,21,Right,52.0,71.5,54.666667,47.000000,63.428571,39.000,10.2
3130,Berat Djimsiti,Atalanta Bergamo,Albania,Defender,Centre-Back,13000000.0,2026-06-30,IT1,79,79,190,83,30,Right,51.0,80.0,71.166667,63.000000,65.142857,42.875,9.8
3131,Mario Pasalic,Atalanta Bergamo,Croatia,Attack,Attacking Midfield,25000000.0,2025-06-30,IT1,81,81,189,82,28,Right,84.0,68.0,77.833333,76.666667,72.142857,70.500,12.8
3132,Merih Demiral,Atalanta Bergamo,Turkey,Defender,Centre-Back,25000000.0,2026-06-30,IT1,77,82,190,86,25,Right,58.0,81.0,61.500000,49.666667,70.571429,44.875,10.4
3133,Francesco Rossi,Atalanta Bergamo,Italy,Goalkeeper,Goalkeeper,100000.0,2024-06-30,IT1,61,61,193,83,31,Right,20.0,16.5,27.333333,16.000000,34.285714,19.750,62.0
3134,Marco Sportiello,Atalanta Bergamo,Italy,Goalkeeper,Goalkeeper,1500000.0,2023-06-30,IT1,75,75,192,87,30,Right,20.5,15.0,42.166667,21.333333,52.857143,21.500,73.2
3135,Juan Musso,Atalanta Bergamo,Argentina,Goalkeeper,Goalkeeper,16000000.0,2025-06-30,IT1,81,82,191,93,28,Right,18.0,15.0,41.666667,25.000000,45.000000,21.250,80.2
3136,Vincent Aboubakar,Besiktas Istanbul,Cameroon,Attack,Centre-Forward,5000000.0,2025-06-30,TR1,75,75,184,82,31,Right,76.0,21.0,69.333333,68.000000,72.714286,73.750,8.4
3137,Jackson Muleka,Besiktas Istanbul,DR Congo,Attack,Centre-Forward,6000000.0,2027-06-30,TR1,72,79,180,77,23,Right,71.5,29.5,61.000000,54.666667,77.142857,66.875,10.6
3138,Rick Karsdorp,As Rom,Netherlands,Defender,Right-Back,9000000.0,2025-06-30,IT1,80,80,184,80,28,Right,79.0,76.5,75.833333,76.000000,77.428571,64.500,13.0
3139,Nathan Redmond,Besiktas Istanbul,England,Attack,Left Winger,11000000.0,2023-06-30,TR1,75,75,173,69,29,Right,79.0,28.0,58.666667,68.000000,69.857143,63.375,11.6
3140,Alexandru Maxim,Besiktas Istanbul,Romania,Attack,Attacking Midfield,3500000.0,2023-06-30,TR1,75,75,177,73,32,Right,78.5,26.5,63.333333,72.000000,69.142857,71.125,10.0
3141,Dele Alli,Besiktas Istanbul,England,Attack,Attacking Midfield,14000000.0,2023-06-30,TR1,76,79,188,80,26,Right,78.0,63.5,72.000000,74.666667,68.142857,74.625,8.2
3142,Tayfur Bingol,Besiktas Istanbul,Turkey,Midfield,Central Midfield,2000000.0,2023-06-30,TR1,67,67,180,74,30,Right,68.5,60.0,61.166667,68.333333,68.428571,57.250,8.4
3143,Kerem Atakan Kesgin,Besiktas Istanbul,Turkey,Midfield,Central Midfield,3000000.0,2026-06-30,TR1,66,73,176,76,22,Right,68.5,55.5,62.333333,62.333333,70.142857,61.625,10.2
